b'[FWA, OH1, Fort Wayne, IN, Washington Court House, OH, 0, 0, 1, 135, 2003-09-01, 398574, 28133, 40.97850037, -85.19509888, NA, NA]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 579, 1444, 76, 119, 2003-03-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 484, 1083, 57, 119, 2003-02-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 349, 608, 32, 119, 2003-01-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 777, 1501, 79, 119, 2003-07-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 685, 1501, 79, 119, 2003-10-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 373, 1406, 74, 119, 2003-12-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 511, 1349, 71, 119, 2003-11-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 635, 1368, 72, 119, 2003-09-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 570, 1178, 62, 119, 2003-06-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 677, 1425, 75, 119, 2003-05-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 284, 1007, 53, 119, 2002-10-01, 2733818, 43791, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 190, 931, 49, 119, 2002-11-01, 2733818, 43791, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 134, 893, 47, 119, 2002-12-01, 2733818, 43791, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 589, 1330, 70, 119, 2000-04-01, 2701634, 41712, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 456, 1311, 69, 119, 2000-02-01, 2701634, 41712, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 548, 1254, 66, 119, 2000-01-01, 2701634, 41712, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 166, 342, 18, 119, 2000-05-01, 2701634, 41712, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 663, 1425, 75, 119, 2000-03-01, 2701634, 41712, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 587, 1444, 76, 119, 1999-03-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 248, 760, 40, 119, 1999-01-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 432, 1273, 67, 119, 1999-12-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 736, 1368, 72, 119, 1999-09-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 668, 1387, 73, 119, 1999-10-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 523, 1349, 71, 119, 1999-04-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 599, 1330, 70, 119, 1999-11-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 629, 1444, 76, 119, 1999-08-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 350, 1254, 66, 119, 1999-02-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 503, 1254, 66, 119, 1999-06-01, 2663420, 38230, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
